person_id,id,name,character,role
11490,tm127384,Julian Doyle,Police Sergeant (uncredited),actor
84047,tm127384,Margarita Doyle,Peasant (uncredited),actor
1463016,tm127384,Zack Matalon,Guard who Falls into Barrels (uncredited),actor
1463018,tm127384,Scott Mike,Bash (Mudfighter (uncredited),actor
1463021,tm127384,William Palin,Sir Not-Appearing-in-this-Film (uncredited),actor
11475,tm127384,Terry Jones,Themselves (uncredited),actor
919694,tm127384,Tom Raeburn,Guard Eating Apple (uncredited),actor
400172,tm127384,Brian Ross,Biff (Mudfighter) (uncredited),actor
14908,tm127384,Roy Forge Smith,Inspector End of Film (uncredited),actor
8327,tm127384,John Thornton,Dancing Knight (uncredited),actor
156072,tm127384,Maggie Weston,Page-turner (uncredited),actor
11475,tm127384,Terry Jones,Unknown,director
11473,tm127384,Terry Gilliam,Unknown,director
35196,tm120801,Lee Marvin,Maj. John Reisman,actor
1050,tm120801,Ernest Borgnine,Maj. Gen. Worden,actor
16868,tm120801,Charles Bronson,Joseph Wladislaw,actor
14351,tm120801,Jim Brown,Robert Jefferson,actor
35197,tm120801,John Cassavetes,Victor Franko,actor
35200,tm120801,Richard Jaeckel,Sergeant Bowren,actor
1061,tm120801,George Kennedy,Major Max Armbruster,actor
35198,tm120801,Trini López,Pedro Jiminez,actor
21482,tm120801,Ralph Meeker,Captain Stuart Kinder,actor
24126,tm120801,Robert Ryan,Col. Everett Dasher Breed,actor
21838,tm120801,Telly Savalas,Archer Maggott,actor
1765,tm120801,Donald Sutherland,Vernon Pinkley,actor
35199,tm120801,Clint Walker,Samson Posey,actor
8044,tm120801,Robert Webber,General Denton,actor
35201,tm120801,Tom Busby,Milo Vladek,actor
35202,tm120801,Ben Carruthers,Glenn Gilpin,actor
35203,tm120801,Stuart Cooper,Roscoe Lever,actor
29814,tm120801,Robert Phillips,Cpl. Morgan - MP Guard,actor
35204,tm120801,Colin Maitland,Seth Sawyer,actor
15345,tm120801,Al Mancini,Tassos Bravos,actor
2095,tm120801,George Roubicek,Pvt. Arthur James Gardner,actor
32622,tm120801,Thick Wilson,Gen. Worden's Aide,actor
548877,tm120801,Dora Reisser,German Officer's Girl,actor
361026,tm120801,Michael Anthony,German Officer in Staff Car (uncredited),actor
35206,tm120801,Leo Britt,German General in Staff Car (uncredited),actor
35207,tm120801,Alan Chuntz,French Servant (uncredited),actor
35208,tm120801,Gary Files,Ambulance Driver (uncredited),actor
35209,tm120801,Judith Furse,Drunken General's Wife (uncredited),actor
35210,tm120801,Hal Galili,MP Master Sergeant / Hangman (uncredited),actor
35211,tm120801,Romo Gorrara,Airborne Soldier (uncredited),actor
11181,tm120801,Willoughby Gray,German Officer (uncredited),actor
35212,tm120801,Gerard Heinz,Card-Playing German Officer (uncredited),actor
21244,tm120801,John G. Heller,2nd German Sentry at Chateau (uncredited),actor
35213,tm120801,George Hilsdon,Medical Officer at Hanging (uncredited),actor
35214,tm120801,John Hollis,German Porter at Chateau (uncredited),actor
10097,tm120801,Alf Joint,German Sentry Wanting Light (uncredited),actor
35215,tm120801,Juba Kennerley,German Officer (uncredited),actor
35216,tm120801,Hildegard Knef,(uncredited),actor
35217,tm120801,Ann Lancaster,Prostitute (uncredited),actor
